YEAR:Period,CostType,VALUE
2020-2050,CAP,145550.88362455138
,CAP,37808.314360857206
2020-2050,FIX,49955.77871296918
,FIX,12014.412292298974
2020-2050,VAR,-50291.436671324394
,VAR,-31730.16897969151
